name,country_code,sub_code,lat,lng,Population 
"San Antonio, TX",US,US-TX-641,29.4658,-98.5254,2002530
"Tyler, TX",US,US-TX-709,32.3184,-95.3065,141116
"Victoria, TX",US,US-TX-626,28.8285,-96.985,68271
"Bryan, TX",US,US-TX-625,30.6657,-96.3668,84021
"Salt Lake City, UT",US,US-UT-770,40.7774,-111.93,1098400
"Charlottesville, VA",US,US-VA-584,38.0375,-78.4855,102016
"Harrisonburg, VA",US,US-VA-569,38.4362,-78.8735,74023
"Norfolk, VA",US,US-NA-544,36.8945,-76.259,244703
"Richmond, VA",US,US-VA-556,37.5295,-77.4756,1059907
"Lynchburg, VA",US,US-VA-573,37.4003,-79.1909,125004
"Tacoma, WA",US,US-WA-819,47.2431,-122.4531,213418
"Spokane, WA",US,US-WA-881,47.6671,-117.433,403043
"Kennewick, WA",US,US-WA-810,46.1979,-119.1732,232915
"Oak Hill, WV",US,US-WV-559,37.9844,-81.1277,8338
"Charleston, WV",US,US-WV-564,38.3484,-81.6323,142858
"Clarksburg, WV",US,US-WV-598,39.2863,-80.323,41453
"Parkersburg, WV",US,US-WV-597,39.2624,-81.5419,64253
"Duluth, MN",US,US-MN-676,46.7757,-92.1392,120101
"Green Bay, WI",US,US-WI-658,44.515,-87.9896,208625
"Eau Claire, WI",US,US-WI-702,44.82,-91.4951,107068
"Madison, WI",US,US-WI-669,43.0827,-89.3923,439553
"Milwaukee, WI",US,US-WI-617,43.0642,-87.9673,1377808
"Rhinelander, WI",US,US-WI-705,45.636,-89.4256,8738
"Riverton, WY",US,US-WY-767,43.0425,-108.4142,12776
"Kingsport, TN",US,US-TN-531,36.5224,-82.5452,118001
"Washington, DC",US,US-DC-511,38.9047,-77.0163,5289420
