"interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
2017-09-10,60,"US-AL-606","today+5-y",NA,"web",1236
2017-09-17,30,"US-AL-606","today+5-y",NA,"web",1236
2017-09-24,60,"US-AL-606","today+5-y",NA,"web",1236
2017-10-01,0,"US-AL-606","today+5-y",NA,"web",1236
2017-10-08,29,"US-AL-606","today+5-y",NA,"web",1236
2017-10-15,29,"US-AL-606","today+5-y",NA,"web",1236
2017-10-22,58,"US-AL-606","today+5-y",NA,"web",1236
2017-10-29,29,"US-AL-606","today+5-y",NA,"web",1236
2017-11-05,43,"US-AL-606","today+5-y",NA,"web",1236
2017-11-12,29,"US-AL-606","today+5-y",NA,"web",1236
2017-11-19,28,"US-AL-606","today+5-y",NA,"web",1236
2017-11-26,28,"US-AL-606","today+5-y",NA,"web",1236
2017-12-03,39,"US-AL-606","today+5-y",NA,"web",1236
2017-12-10,29,"US-AL-606","today+5-y",NA,"web",1236
2017-12-17,30,"US-AL-606","today+5-y",NA,"web",1236
2017-12-24,0,"US-AL-606","today+5-y",NA,"web",1236
2017-12-31,0,"US-AL-606","today+5-y",NA,"web",1236
2018-01-07,70,"US-AL-606","today+5-y",NA,"web",1236
2018-01-14,42,"US-AL-606","today+5-y",NA,"web",1236
2018-01-21,37,"US-AL-606","today+5-y",NA,"web",1236
2018-01-28,28,"US-AL-606","today+5-y",NA,"web",1236
2018-02-04,55,"US-AL-606","today+5-y",NA,"web",1236
2018-02-11,28,"US-AL-606","today+5-y",NA,"web",1236
2018-02-18,37,"US-AL-606","today+5-y",NA,"web",1236
2018-02-25,81,"US-AL-606","today+5-y",NA,"web",1236
2018-03-04,27,"US-AL-606","today+5-y",NA,"web",1236
2018-03-11,28,"US-AL-606","today+5-y",NA,"web",1236
2018-03-18,0,"US-AL-606","today+5-y",NA,"web",1236
2018-03-25,0,"US-AL-606","today+5-y",NA,"web",1236
