"","interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
"158",2018-02-18,63,"US-MO-609","today+5-y",NA,"web",1236
"159",2018-02-25,58,"US-MO-609","today+5-y",NA,"web",1236
"160",2018-03-04,62,"US-MO-609","today+5-y",NA,"web",1236
"161",2018-03-11,64,"US-MO-609","today+5-y",NA,"web",1236
"162",2018-03-18,78,"US-MO-609","today+5-y",NA,"web",1236
"163",2018-03-25,82,"US-MO-609","today+5-y",NA,"web",1236
"164",2018-04-01,86,"US-MO-609","today+5-y",NA,"web",1236
"165",2018-04-08,59,"US-MO-609","today+5-y",NA,"web",1236
"166",2018-04-15,54,"US-MO-609","today+5-y",NA,"web",1236
"167",2018-04-22,59,"US-MO-609","today+5-y",NA,"web",1236
"168",2018-04-29,64,"US-MO-609","today+5-y",NA,"web",1236
"169",2018-05-06,48,"US-MO-609","today+5-y",NA,"web",1236
"170",2018-05-13,72,"US-MO-609","today+5-y",NA,"web",1236
"171",2018-05-20,55,"US-MO-609","today+5-y",NA,"web",1236
"172",2018-05-27,55,"US-MO-609","today+5-y",NA,"web",1236
"173",2018-06-03,57,"US-MO-609","today+5-y",NA,"web",1236
"174",2018-06-10,62,"US-MO-609","today+5-y",NA,"web",1236
"175",2018-06-17,76,"US-MO-609","today+5-y",NA,"web",1236
"176",2018-06-24,59,"US-MO-609","today+5-y",NA,"web",1236
"177",2018-07-01,33,"US-MO-609","today+5-y",NA,"web",1236
"178",2018-07-08,72,"US-MO-609","today+5-y",NA,"web",1236
"179",2018-07-15,80,"US-MO-609","today+5-y",NA,"web",1236
"180",2018-07-22,75,"US-MO-609","today+5-y",NA,"web",1236
"181",2018-07-29,65,"US-MO-609","today+5-y",NA,"web",1236
"182",2018-08-05,37,"US-MO-609","today+5-y",NA,"web",1236
"183",2018-08-12,61,"US-MO-609","today+5-y",NA,"web",1236
"184",2018-08-19,55,"US-MO-609","today+5-y",NA,"web",1236
"185",2018-08-26,52,"US-MO-609","today+5-y",NA,"web",1236
"186",2018-09-02,45,"US-MO-609","today+5-y",NA,"web",1236
"187",2018-09-09,41,"US-MO-609","today+5-y",NA,"web",1236
