"name","country_code","sub_code","lat","lng","Population","r2value","pvalue"
"Spokane, WA","US","US-WA-881",47.6671,-117.433,403043,0.00594170663725845,0.141617363318153
"Kennewick, WA","US","US-WA-810",46.1979,-119.1732,232915,0.000493066554197802,0.672423028577222
"Charleston, WV","US","US-WV-564",38.3484,-81.6323,142858,0.00305476946476162,0.2922885106973
"Parkersburg, WV","US","US-WV-597",39.2624,-81.5419,64253,0.000408845877705187,0.700225788898741
"Duluth, MN","US","US-MN-676",46.7757,-92.1392,120101,2.24145144050257e-08,0.997725644469909
"Green Bay, WI","US","US-WI-658",44.515,-87.9896,208625,5.34394192368339e-05,0.889304354766146
"Eau Claire, WI","US","US-WI-702",44.82,-91.4951,107068,0.0154957411646972,0.0173442721528007
"Madison, WI","US","US-WI-669",43.0827,-89.3923,439553,0.0368696494806695,0.000224035045261413
"Milwaukee, WI","US","US-WI-617",43.0642,-87.9673,1377808,0.00163415464013892,0.441312880923349
"Kingsport, TN","US","US-TN-531",36.5224,-82.5452,118001,0.000133859075948407,0.825646145895347
"Washington, DC","US","US-DC-511",38.9047,-77.0163,5289420,0.00432282184828323,0.210145744178156
