"","interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
"80",2016-08-21,67,"US-NM-790","today+5-y",NA,"web",1236
"81",2016-08-28,79,"US-NM-790","today+5-y",NA,"web",1236
"82",2016-09-04,43,"US-NM-790","today+5-y",NA,"web",1236
"83",2016-09-11,39,"US-NM-790","today+5-y",NA,"web",1236
"84",2016-09-18,50,"US-NM-790","today+5-y",NA,"web",1236
"85",2016-09-25,46,"US-NM-790","today+5-y",NA,"web",1236
"86",2016-10-02,19,"US-NM-790","today+5-y",NA,"web",1236
"87",2016-10-09,39,"US-NM-790","today+5-y",NA,"web",1236
"88",2016-10-16,69,"US-NM-790","today+5-y",NA,"web",1236
"89",2016-10-23,30,"US-NM-790","today+5-y",NA,"web",1236
"90",2016-10-30,35,"US-NM-790","today+5-y",NA,"web",1236
"91",2016-11-06,30,"US-NM-790","today+5-y",NA,"web",1236
"92",2016-11-13,45,"US-NM-790","today+5-y",NA,"web",1236
"93",2016-11-20,34,"US-NM-790","today+5-y",NA,"web",1236
"94",2016-11-27,61,"US-NM-790","today+5-y",NA,"web",1236
"95",2016-12-04,50,"US-NM-790","today+5-y",NA,"web",1236
"96",2016-12-11,62,"US-NM-790","today+5-y",NA,"web",1236
"97",2016-12-18,51,"US-NM-790","today+5-y",NA,"web",1236
"98",2016-12-25,44,"US-NM-790","today+5-y",NA,"web",1236
"99",2017-01-01,53,"US-NM-790","today+5-y",NA,"web",1236
"100",2017-01-08,71,"US-NM-790","today+5-y",NA,"web",1236
"101",2017-01-15,57,"US-NM-790","today+5-y",NA,"web",1236
"102",2017-01-22,49,"US-NM-790","today+5-y",NA,"web",1236
"103",2017-01-29,56,"US-NM-790","today+5-y",NA,"web",1236
"104",2017-02-05,42,"US-NM-790","today+5-y",NA,"web",1236
"105",2017-02-12,38,"US-NM-790","today+5-y",NA,"web",1236
"106",2017-02-19,73,"US-NM-790","today+5-y",NA,"web",1236
"107",2017-02-26,55,"US-NM-790","today+5-y",NA,"web",1236
"108",2017-03-05,57,"US-NM-790","today+5-y",NA,"web",1236
"109",2017-03-12,44,"US-NM-790","today+5-y",NA,"web",1236
"110",2017-03-19,73,"US-NM-790","today+5-y",NA,"web",1236
"111",2017-03-26,63,"US-NM-790","today+5-y",NA,"web",1236
"112",2017-04-02,42,"US-NM-790","today+5-y",NA,"web",1236
"113",2017-04-09,36,"US-NM-790","today+5-y",NA,"web",1236
"114",2017-04-16,35,"US-NM-790","today+5-y",NA,"web",1236
"115",2017-04-23,45,"US-NM-790","today+5-y",NA,"web",1236
"116",2017-04-30,60,"US-NM-790","today+5-y",NA,"web",1236
"117",2017-05-07,63,"US-NM-790","today+5-y",NA,"web",1236
"118",2017-05-14,56,"US-NM-790","today+5-y",NA,"web",1236
"119",2017-05-21,75,"US-NM-790","today+5-y",NA,"web",1236
"120",2017-05-28,64,"US-NM-790","today+5-y",NA,"web",1236
"121",2017-06-04,44,"US-NM-790","today+5-y",NA,"web",1236
"122",2017-06-11,48,"US-NM-790","today+5-y",NA,"web",1236
"123",2017-06-18,69,"US-NM-790","today+5-y",NA,"web",1236
"124",2017-06-25,53,"US-NM-790","today+5-y",NA,"web",1236
"125",2017-07-02,49,"US-NM-790","today+5-y",NA,"web",1236
"126",2017-07-09,56,"US-NM-790","today+5-y",NA,"web",1236
"127",2017-07-16,61,"US-NM-790","today+5-y",NA,"web",1236
"128",2017-07-23,19,"US-NM-790","today+5-y",NA,"web",1236
"129",2017-07-30,58,"US-NM-790","today+5-y",NA,"web",1236
"130",2017-08-06,69,"US-NM-790","today+5-y",NA,"web",1236
"131",2017-08-13,37,"US-NM-790","today+5-y",NA,"web",1236
"132",2017-08-20,43,"US-NM-790","today+5-y",NA,"web",1236
"133",2017-08-27,36,"US-NM-790","today+5-y",NA,"web",1236
"134",2017-09-03,65,"US-NM-790","today+5-y",NA,"web",1236
"135",2017-09-10,57,"US-NM-790","today+5-y",NA,"web",1236
"136",2017-09-17,46,"US-NM-790","today+5-y",NA,"web",1236
"137",2017-09-24,60,"US-NM-790","today+5-y",NA,"web",1236
"138",2017-10-01,49,"US-NM-790","today+5-y",NA,"web",1236
"139",2017-10-08,49,"US-NM-790","today+5-y",NA,"web",1236
"140",2017-10-15,42,"US-NM-790","today+5-y",NA,"web",1236
"141",2017-10-22,38,"US-NM-790","today+5-y",NA,"web",1236
"142",2017-10-29,52,"US-NM-790","today+5-y",NA,"web",1236
"143",2017-11-05,54,"US-NM-790","today+5-y",NA,"web",1236
"144",2017-11-12,74,"US-NM-790","today+5-y",NA,"web",1236
"145",2017-11-19,51,"US-NM-790","today+5-y",NA,"web",1236
"146",2017-11-26,54,"US-NM-790","today+5-y",NA,"web",1236
"147",2017-12-03,45,"US-NM-790","today+5-y",NA,"web",1236
"148",2017-12-10,55,"US-NM-790","today+5-y",NA,"web",1236
